Sample Number (10 samples per second),t (c)
726,25.119999
727,25.119999
728,25.119999
729,25.119999
730,25.119999
731,25.119999
732,25.119999
733,25.119999
734,25.119999
735,25.119999
736,25.119999
737,25.119999
738,25.119999
739,25.119999
740,25.119999
741,25.119999
742,25.119999
743,25.06
744,25.119999
745,25.06
746,25.119999
747,25.06
748,25.06
749,25.06
750,25.06
751,25.06
752,25.06
753,25.06
754,25.06
755,25.06
756,25.06
757,25.06
758,25.06
759,25.06
760,25.06
761,25.06
762,25.06
763,25.06
764,25.06
765,25.06
766,25.06
767,25.06
768,25.06
769,25.06
770,25.06
771,25.06
772,25.06
773,25.06
774,25.06
775,25.06
776,25.06
777,25.06
778,25.06
779,25.06
780,25.0
781,25.0
782,25.0
783,25.0
784,25.0
785,25.0
786,25.0
787,25.0
788,25.0
789,25.0
790,25.0
791,25.0
792,25.0
793,25.0
794,25.0
795,25.0
796,25.0
797,25.0
798,25.0
799,25.0
800,25.0
801,25.0
802,25.0
803,25.0
804,25.0
805,25.0
806,25.0
807,25.0
808,25.0
809,25.0
810,25.0
811,24.93
812,25.0
813,25.0
814,25.0
815,24.93
816,25.0
817,24.93
818,24.93
819,24.93
820,24.93
821,24.93
822,24.93
823,24.93
824,24.93
825,24.93
826,24.93
827,24.93
828,24.93
829,24.93
830,24.93
831,24.93
832,24.93
833,24.93
834,24.93
835,24.93
836,24.93
837,24.93
838,24.93
839,24.93
840,24.93
841,24.93
842,24.93
843,24.93
844,24.93
845,24.93
846,24.93
847,24.93
848,24.93
849,24.93
850,24.93
851,24.93
852,24.93
853,24.93
854,24.869999
855,24.869999
856,24.869999
857,24.869999
858,24.869999
859,24.869999
860,24.869999
861,24.869999
862,24.869999
863,24.869999
864,24.869999
865,24.869999
866,24.869999
867,24.869999
868,24.869999
869,24.869999
870,24.869999
871,24.869999
872,24.869999
873,24.869999
874,24.869999
875,24.869999
876,24.869999
877,24.869999
878,24.869999
879,24.869999
880,24.869999
881,24.869999
882,24.869999
883,24.869999
884,24.869999
885,24.869999
886,24.869999
887,24.869999
888,24.869999
889,24.81
890,24.81
891,24.81
892,24.81
893,24.81
894,24.81
895,24.81
896,24.81
897,24.81
898,24.81
899,24.81
900,24.81
901,24.81
902,24.81
903,24.81
904,24.81
905,24.81
906,24.81
907,24.81
908,24.81
909,24.81
910,24.81
911,24.81
912,24.81
913,24.81
914,24.81
915,24.81
916,24.81
917,24.81
918,24.81
919,24.81
920,24.81
921,24.81
922,24.81
923,24.81
924,24.81
925,24.81
926,24.81
927,24.81
928,24.75
929,24.81
930,24.75
931,24.81
932,24.75
933,24.75
934,24.75
935,24.75
936,24.75
937,24.75
938,24.75
939,24.75
940,24.75
941,24.75
942,24.75
943,24.75
944,24.75
945,24.75
946,24.75
947,24.75
948,24.75
949,24.75
950,24.75
951,24.75
952,24.75
953,24.75
954,24.75
955,24.75
956,24.75
957,24.75
958,24.75
959,24.75
960,24.75
961,24.75
962,24.75
963,24.75
964,24.75
965,24.75
966,24.75
967,24.75
968,24.75
969,24.68
970,24.68
971,24.68
972,24.68
973,24.68
974,24.68
975,24.68
976,24.68
977,24.68
978,24.68
979,24.68
980,24.68
981,24.68
982,24.68
983,24.68
984,24.68
985,24.68
986,24.68
987,24.68
988,24.68
989,24.68
990,24.68
991,24.68
992,24.68
993,24.68
994,24.68
